,address,amount,percentOfTotal
0,9hsMtdDDF9GoriqduxRdx8gJnn1iFTB8QkUpcpu23YuC8WwmAPB,17850000000,85.0
1,9eg7xysi917hv3jjwiizyqnc8PyUhumRu12aLesUZXhR3fEuCPG,840004200,4.00002
2,9ft1RsbmcAL7CbF78uAyNsFT6q1whTkGwU784wkcSxfHvyxfpvK,840000000,4.0
3,9hwQZjaAismdfsQLrJ9Xc79GsjpLnqTsqVqrXB1GBEwSPuqsVjv,840000000,4.0
4,9g1p6UU8XoAeU4yGPLpbTHYiG8aBHwfCFzQqJZrfzuLnmF3zb7P,196119500,0.933902380952381
5,9efGcyf6rg2hgvW4LwAZ96zjrP1YoUDQ8BKh2TSNH5UgiJ1voqU,96590000,0.45995238095238095
6,9fBtyC5oNvdY51gCrfTJh5NMQUdjxxsf83rorTZcKWwoYTyHnww,84070257,0.40033455714285715
7,9hHh4PvP4XnzYi6HNCpKyKJtCUpBwVHF1sUiy4TqeVmyRWVYUjm,76000000,0.3619047619047619
8,9giSShdEtnCMmGDVNr9rd3keTe6dpcMkjZQRG1EXiMHui5C97Yt,63423376,0.3020160761904762
9,9gChf3m867JyKDo42FpLm488v6dc9A6Z3EjN4b3PP7YBV2aqSFw,35105396,0.16716855238095238
10,9f3pUCtLjqZmmse1W2xftYJHpvwxhiFgLzppbsYWS4RMi9kdr5J,12400000,0.05904761904761905
11,9fDpdpCjW22fibo7dQWa7aFDQvQ6zDpwGU6x6DG9sRoNkwEwcR2,8750999,0.04167142380952381
12,9hBGvDfVUrt5QDVDsW7zcifkPEk4NxeZXSwkrrRAzndAibue7th,1210500,0.005764285714285714
13,9fFnwjeAbSWwoSbQVvr6M6sVWh5KZdX9t1Ppag1FDjTYkHJDrri,1010000,0.0048095238095238095
14,2kpyq1fiKFRACqTBYLqT4BNGfnrym226pPanSzftuVJdWmxAKncZScWcY2XkJXLdFFKXcqy7zLB8LVpHkaXgyAJkjTC4LXxss6tMbL7ZqEpwj5oGhv1q2FbsCab2KR2RdWhrwWSpC6qXXR6srcbve7c5ni8JQhWQKZdCqiuWxTXyapsTE1mB459YgLcPBBrPmA8qdudEToo9QVWXPSwXTGq3Uxod5V5JaBjWPcPi7UPMR1J9Y5guSCVxbLavcRnPxoxtgouFGimPcYxpMd5Vc,1000000,0.004761904761904762
15,9eunpGxSP2a6PzpnLUJAGxHrVaxuDqNvUtZhbqrMQo2YkzMEhRc,948056,0.0045145523809523806
16,9g1T2QWDhBfT1RBmzW1KKzHxB3SgBx8zXtU42URjfM5T6phKrzc,810549,0.003859757142857143
17,9ej3gtpWNeLZtWUFygWU1LVJmD9V3W1oFCcgmC8YkSdiGiSWg8Y,751000,0.0035761904761904763
18,9i9kkup5ZTmcHchHRPMpuoDu1GahQKd179crcgAb7WGwSC56AMD,750000,0.0035714285714285713
19,9iNt6wfxSc3DSaBVp22E7g993dwKUCvbGdHoEjxF8SRqj35oXvT,650000,0.0030952380952380953
20,9gej9gPngk1VLScLFFpSwWiuSp1obkkgGSfD7bNaUWUdv3M7G3U,572798,0.0027276095238095237
21,9fXjzCX1K8wA3wR3hevJWnGJiMiMRb1ma1BjDfLs424MXMVR1GD,550000,0.002619047619047619
22,9i9vkPQkXbVT8boEks9B7pp6GXM8gUc7fEWWhu1JFSLjg3wZpS2,489955,0.0023331190476190474
23,9gci45ZwRHcv6fgZUmTrqsoQVZqmWDRA728ymaTeE7aJn2pob5W,430000,0.0020476190476190477
24,9fzdExQKCzLiD6HS6wfu66FNpe7tWbMiTMQxJS6UNLz2tvvw6u6,425000,0.0020238095238095236
25,8D5yrk3J6uxm7L7dDs8py4NAigZYo4znAqEUx8kN3ERM4yDoRzKKUda5zY8vnjpCjx3bZFVYp4Cz8y4Gbkr7VhWgSXwtLZixzw4eB41FzqNFS3PM2Erf73kLLyyCf1BG5di7CY7RDW22KHQV3LNc9HFqtGVbNfmzf29XWTDGBiMhP5phBfRN4VfcUwTnUPMJ9bs4oa3D2LJZNRMVnccJvxmVUWSpwZuchX91Qv1B9a7zpS6dAed5WHyt5NzKZAgfUjxf8rHaTN6yT3QhekpxRqAa33CFbDMZLeuVqrS9B9CzLRttb8f6bmDTMfxpznmftsXRw9MjmbtxTNcNzu4u369Puga2J1ZcM6SGLeuwqvFQLeUgLHNKVNeFncfT1SW4FYCeZSXPBfQ75zgwE5csCPiM1vvvQ8d7j77XwoNnArjt19W23uk3Ki7vm1TV5p8Qcbu4YKA8CTZ8tSGQKB68KQrdavY7G5F7D8bC527AYhE2GdDSACS9MvZF2YWnrzepJNMyQbKU7diX3grR1bVaX6RA3NwTGtK6HiYZNSQWdXUmsbZ3xX7xjoqWkSDFw,414000,0.0019714285714285715
26,9h9MgsTFVtce9jV3UKTXxy9Zr7q8XNqZDZFsR3HF1jZu8GLDugx,400000,0.0019047619047619048
27,9hkqYXUvRY9icDm9gng2jc7dAnNt3JQzv1YF5WySBtVjuecs4kC,400000,0.0019047619047619048
28,9hJ86eKFLugJvctbQGQPLvNhzV2SJrFZzm8Nurgsx4YLYHt17cp,400000,0.0019047619047619048
29,9iMiCmiA5Xu2vvZvVobz4ELiQ17aca4GM3PrXdSpUtiecVKYCHi,400000,0.0019047619047619048
30,9gAkB2V8GNTfpTHWjAtYrHKNJUsxaaFpqLQt6m3wDcbiHcCVVGt,400000,0.0019047619047619048
31,9hPWrLizbJenBcb824YYvhd3mAN5kmBrehRom6QUskfpFZPrsFS,400000,0.0019047619047619048
32,9gaknRP5yGPdDQVQjxTuGjthD1DEzaTpRqAcsZRrarDj1DL38Yf,390000,0.0018571428571428571
33,9eveKk4wu3ErNdMNNpXQ86VMQLSsWFu7hMPRHKi1FC7a7VB981m,377500,0.0017976190476190477
34,9fw8ts5xCc8iYP88kvsZ8GQQP9QmdtG8d7X6SKfr1dRVUNQmoH1,360000,0.0017142857142857142
35,9fzbB9JftKcNQkUmSijaW42KwX7yxQoXoyW4Jg41jzY8GAvrqTJ,357625,0.0017029761904761905
36,9ehg1Nx3MNN66VgZLaXRM4SQMTUN3BzxoLkSMMzQG5aPnbVGpDm,350000,0.0016666666666666668
37,9fH5N6zkLhHdCiaY83h2Ece4o4bvW9HhHdRo5bQaT7Ari4RbVUv,336000,0.0016
38,9i3oNo2TzhLdy7SQ4tCJuaECD8wtxd76TQf5mp8J6FGVTs4nurE,324432,0.0015449142857142857
39,9egZAv3siqx2h5LckFWxrBFNq9GXNp2cJH9sKQprvAfCnUPK6jq,320000,0.0015238095238095239
40,9f6vm7HbjChDDbXbZqdeYy5Zcbw4HkKkPnCYFPCCQn7vtFP7SdM,307625,0.0014648809523809523
41,9gdLUobTL1hcSRxWp8NGZRU7SyHUCjAtD76oRNY67FfaiiSP2TR,300000,0.0014285714285714286
42,9gu6inLaY8W9UjPkhmcQ65CfweDAV1bjbmheRFXqPBRrMr235JK,300000,0.0014285714285714286
43,9gZttg88EpGmgP1FZAAK94wjBF7tNxd1GTyPpybcinnDFDzgRWd,285100,0.0013576190476190476
44,9hRL8n8T6MgStPejxsSviafRVo8F8yxfm2LrKgPTn36VGYVJpeJ,275000,0.0013095238095238095
45,9fznGPQqEHaFPfkAEuvWYtDNetSW7bRLJMmWUAzMZnrqLB4njVr,270000,0.0012857142857142856
46,9hnUZpaCTPpmVcgaZLjF6G9cPKxMU3pspMzHvdJ2F7N1US9gtpq,255000,0.0012142857142857142
47,9grP8EZa7t4bFDkpxioYctQd8P1fZkvjFGGYj8WKhgmFCvK7kKC,250000,0.0011904761904761906
48,9fFKfzSAi4u8e9x5H8j2e27V8AYo2WTAr7D8mSdBzJK8fKG1hFA,250000,0.0011904761904761906
49,9gpadT6GskgmMBxq5Z6XrqScfxxnmKnQCEcFnzydEo9dLX5RMan,228000,0.0010857142857142858
50,9hpWYf6iBXPxZXDFdFkeixhGvasx3kSsjpSsDXDUS4cdghCE2bF,220000,0.0010476190476190477
51,9gJCXGApJUgyTyCTBiPkraTcyJ6SRpvijqwoGoW7K7UdwYnxZN8,218000,0.0010380952380952381
52,9fqHfarTsdd43ceEm6SP5sSccMoDXdRMU1w4wMFYT1gYcye1Tgw,215000,0.0010238095238095238
53,9eZ24iqjKywjzAti9RnWWTR3CiNnLJDAcd2MenKodcAfzc8AFTu,212000,0.0010095238095238095
54,9ewA9T53dy5qvAkcR5jVCtbaDW2XgWzbLPs5H4uCJJavmA4fzDx,207495,0.0009880714285714287
55,9i7PCbocQ3xdHxBKQ9GYBJfrhCa9GqDMts41m7pE6FFxMpGJzCe,205000,0.0009761904761904762
56,9gxywqNyGZnxY7uGsWTY5gHsfiUcugTrypVRaZoUow1ogYdm9b5,202100,0.0009623809523809524
57,9gtpAFgq4cRcZU7auFss163RZUDuakUZpWCKWawr5o29fNDaj9U,200461,0.0009545761904761904
58,9gy2FR4SrkYKL6ZqEpucUNa4Rf4tUDitJk3CM9fanDvuuf7PrqY,200000,0.0009523809523809524
59,9gb3mPXuUbhVJrzvzR79d8hK5JTEWPduFfab4CkCFpr98dzQceG,200000,0.0009523809523809524
60,9hYyTkVtRSQy4TEwimVLiG6TsmYtDVc66xmG15Rqk6SnYR1FHyG,200000,0.0009523809523809524
61,9gbJG4xrDjYWuoobVhhsFFT9Ng3FRhVMk6H5fL6ZcWNdAbswJuD,200000,0.0009523809523809524
62,9fLhwPmXvCkkndGqNtWoZ6yRKvHcH4nGx3xNdvc5vmcYrwHvsV2,200000,0.0009523809523809524
63,9h3DjWYXLriAn5cox3CeCFGxngTY3JQpy9RwZwP4x1xYAjeSN1G,200000,0.0009523809523809524
64,9fe5zAWVqPpknJeavxRYiyDxY6zotBBSwjuESVhbHgWWbCY3NeH,200000,0.0009523809523809524
65,9hCh2BTcpfGaotHX2PDrD5pP7V77zkou459oEr3CVRUK4Rx8zGA,200000,0.0009523809523809524
66,9f4DTSSMaFhmZVVbFPYRoFhRx3xzxLFTw5f2Vq1988fCMRG2EPS,200000,0.0009523809523809524
67,9fdJEwxHx3yw758Vbze2vpm6Ky4ytHmEk9oqAFVbqJQ8zTcRNfS,200000,0.0009523809523809524
68,9fdfhsjUMiHQBvZcdSmGBSMY546qFDnsVn5okpK5BoHTUBovE6b,200000,0.0009523809523809524
69,9iHN9eDeR6iHeVQ2VJTXoHGSJEpTtGCmT53N39Jq4kUnsP6RZ85,200000,0.0009523809523809524
70,9guL26VrJdeVox761GQDVV6hza3wACgk2kHJ1PdUkxDyAdBAxWu,200000,0.0009523809523809524
71,9hWM3BCsV5XFGBisSMWMTw9XAmg7y9ELPYURbcKCdVbFzqUuLRy,200000,0.0009523809523809524
72,9ghcSLzTUe9c7czPShdvpvCiB5z3GMxuo4HQJv73VttGUwp3UPB,200000,0.0009523809523809524
