,address,amount,percentOfTotal
0,9f4vy6CzehxjxMddc1kvFHrhEfDAoyAYXJsiWGskBrBCrCRQjr6,44000,8.8
1,5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,41539,8.3078
2,9fznGPQqEHaFPfkAEuvWYtDNetSW7bRLJMmWUAzMZnrqLB4njVr,27500,5.5
3,9hj3zqd2J21yYWQQCK9oSdw79iJTKKZAdFBAuVjzXGx8PPFaAmV,25000,5.0
4,9hUkuGeg3G7TgURw7fQViiSBwnpL5dRb4hjs5JgPSXcaGNNXCwS,17055,3.411
5,zCkAGbp4TmKSTBnYVwwGiHyGoorPLz2EdVkw7u8EwBEYP5b6cEcUrP87LN7A7xq5XTFRQY5fodoikuvo1PzKmoojiPybkCBPXFzPioJh6aXBpsq6nYHoPZbgnC5vtSfkeHnjgyT7AzFRCJwKxpEQBf2GEndxBVxrFoJ3UHRnEkpwHe3PXgeCt6i3WMvgoEm7DcQVAQTLtXmwwPVjeyMeEfroqamErwiSxfExR7WKaJJgttpvLnj6yT4JnrzRF5kSVtx7eaeewrwGsfgnZcRBxrj9cs7754TZqKSBkBtFRMF2c2wMvEE9nSTAYtZRzY3rjsBpaESdZfTjCg9hTerKxjNzQibdpQmxa9zRp9uS93179Re7rcdyBHq8r6wgzKKy2cJCYhrgUxzZkbn4KgvGsLaB96TXn4NcfwgEo87EpDkjEhqr6ksJCqgFN3chz4gmSBZvsbvNs44k3bFA2U5DSaSdSwTxtX4sF2GcAm2HhL3R6gK56WD22E6Q2ribf78k63crmXh62z8EaP6C7P7uu7KNRUDbRorGX5CGZc9iz7qK6fm2zyAzpxCCh4P6NGBCq3ENQvuM8QcRB9ca3ggP4rWFZmzpf2W3,16500,3.3
6,9fx2cfh1DqpkRMA9K5nFhLtAtHLPBUTaqRyQge16uE5PATTsbUa,16000,3.2
7,9ghcSLzTUe9c7czPShdvpvCiB5z3GMxuo4HQJv73VttGUwp3UPB,15206,3.0412
8,9hXN8q7jtU8w5RvqRzMPmJcLKKZW6d8BXY3tfBrn3ZeYt5hPCze,12396,2.4792
9,9hYyTkVtRSQy4TEwimVLiG6TsmYtDVc66xmG15Rqk6SnYR1FHyG,10704,2.1408
10,9fFvjCdffF89E25J1SGEGUpYgnBkbj6GekJ5cAqYwXtUzAoagfa,10000,2.0
11,9ggvcaCK6XQff7s9UDYic9p2o4bwuscqWt2VPJQNYuwNSUaAbqf,9962,1.9924
12,9h3DjWYXLriAn5cox3CeCFGxngTY3JQpy9RwZwP4x1xYAjeSN1G,9685,1.937
13,9hJ86eKFLugJvctbQGQPLvNhzV2SJrFZzm8Nurgsx4YLYHt17cp,8000,1.6
14,3gb1RZucekcRdda82TSNS4FZSREhGLoi1FxGDmMZdVeLtYYixPRviEdYireoM9RqC6Jf4kx85Y1jmUg5XzGgqdjpkhHm7kJZdgUR3VBwuLZuyHVqdSNv3eanqpknYsXtUwvUA16HFwNa3HgVRAnGC8zj8U7kksrfjycAM1yb19BB4TYR2BKWN7mpvoeoTuAKcAFH26cM46CEYsDRDn832wVNTLAmzz4Q6FqE29H9euwYzKiebgxQbWUxtupvfSbKaHpQcZAo5Dhyc6PFPyGVFZVRGZZ4Kftgi1NMRnGwKG7NTtXsFMsJP6A7yvLy8UZaMPe69BUAkpbSJdcWem3WpPUE7UpXv4itDkS5KVVaFtVyfx8PQxzi2eotP2uXtfairHuKinbpSFTSFKW3GxmXaw7vQs1JuVd8NhNShX6hxSqCP6sxojrqBxA48T2KcxNrmE3uFk7Pt4vPPdMAS4PW6UU82UD9rfhe3SMytK6DkjCocuRwuNqFoy4k25TXbGauTNgKuPKY3CxgkTpw9WfWsmtei178tLefhUEGJueueXSZo7negPYtmcYpoMhCuv4G1JZc283Q7f3mNXS,7540,1.508
15,9fHm4Dz63YdWxtMViuGA1A5EYYvMdbqivAkovRuiTsgqkqxzqpm,6100,1.22
16,9hVgFepYFtc2eHhLStWaxFiVqGGfpjmMqVWWoDgBWFf9dNLZGio,5811,1.1622
17,9fx1PwqiVHxdqgonZUXJufxjPvhwzn9sQ7qJvgJ8FcSVWhwSwEn,5690,1.138
18,9fzVz3VhfHUFixVa3SMf19EBKoXPcCLXN2yNaY7GHYiH8hV944t,5140,1.028
19,9gbqBWxp6nByCqAUTM3xJPRwqrdPZfYsr22JLbDqDU6sLzQgEgQ,5000,1.0
20,9gKQSpM4ZUDCG1yVrJtYnMgHbVz1MycxKiysYnNZrGEzBFfwisr,5000,1.0
21,9h6i7RuxW4t5uwrPVh8Ft5pqj9Myt9a7QSaHXco4ZkR6rcjndZg,5000,1.0
22,9fg7j1RRuRyMxDQY6jZx3Q9aAvS3uWT28fPjR23JHVJq3Khbqv3,4551,0.9102
23,9fC41vrkRQijAW7MjopgXvisb1aFG7HVfD9swGXPRQpNdiwJUQG,4526,0.9052
24,9hXGQapjCT4rajABpHdLC2r4pt2Nzsik468uEJuEAcUcJYoK6Yw,4500,0.9
25,9i8J65RSGgqrFgboXArKxg2UZq7vUkRe93Sx7ydPU5sWyoBHD2M,4380,0.876
26,9eaVqoaiwHn25yFD1hsbm8oNedajnf2LFjG5Vnd7KFH4BwF34hF,4000,0.8
27,9iLUopWqqRH4nrvth69Frq7WLfpyzx3zdhovRNitjsRMHSTUo9a,4000,0.8
28,9hXN8UhqZ55zsuJGENs9a3wS8cEKz2rpe2aZpSeU92HUaLHDeBV,4000,0.8
29,9gCiXdmND3MEdGDRvdwdtoEsTPzDUt1uqgE4DhRHQzxS2CZAVZv,4000,0.8
30,9g1sK9dcAcxkqTRC864Ldpp89bXGxNaxYyVgAj9j5hGV3wGRn8d,4000,0.8
31,9iCznZztuQARpWj86P53QFkN6UhyHXGUuRAxD9EtacfVUtoYVE1,3924,0.7848
32,9eqoFP4C6uwLVoZfpV58q16KD3BPA7kfKbqXbJtFF8fhb95tHHv,3759,0.7518
33,9he93CMjVdJJv7LP7MbQaVWncF8MCdGJRekUtaCb3eUdvnxHRk8,3690,0.738
34,9hELNaU7Z32eENLpWqu6tdkJbFbpB2msnw9fjMDxaxg9HfdUis3,3501,0.7002
35,9h3M8vhjsYBMsa6fgzSCVwPK1qF3ptPxxigtVPa1XUHr4rGpU5K,3069,0.6138
36,9gXan1yTQoy9yr8Hm3QxG2PEVP5pvuUmUqJopM3MbYQft6kxKmN,3030,0.606
37,9evXMhq6hfSMCAJyV4sxcd7ZcbzzLXdDqYkwBfTKLR1QufyQ8GE,3001,0.6002
38,9hB6Xmhktyzd8f4DgxoLaoiWtdLMKg4cDBePN1D6ALYbcSrHLLJ,3000,0.6
39,9h6FAVJZwh3vyiiebBXBiHGiitMuGW5WNkB42iGjgD1DyhzP9gd,3000,0.6
40,9h3Y4F9eDC8iZtRDRooJv1GZEKqW3ovueEs6xduv2TF1oxpEiks,3000,0.6
41,9hPV9kubHHxZDHdwMUBZynGA5rASaVvRngBrmydUjXEgwHaJGoX,2842,0.5684
42,9epXLCp5Nph6QKoP4Q3mPx2jzpj7ukaWwTmqebbDCK5Wx9nT9Ta,2500,0.5
43,9gL8ho82X247S6USnJgisfups1B2Q9qouCDeXy6F95zjnhZkVuv,2496,0.4992
44,9hcASGRiWbDHqxbG6MKbvrcgWc98KRcCNik7cLLU9fAXt8d23WA,2349,0.4698
45,9fuRB81c7qYKyC7xuPJ5rX1HLGgNeRvLLaqkCPgi2xN9hv7KFwP,2220,0.444
46,9g3Vuc7SFaqVVe3sbuU1wHP6L4rhzxEuS1VpMtKhuNL9EdjrgzA,2200,0.44
47,9hN4fajPkDccsjWckKVQv8GuS7hG6ruYmG7s2XFYfi8QgK5MifG,2057,0.4114
48,9gNBu36dn8F1TERpJXJ6uNm194sMTfjBxf4z45rynNGsxuxX7GN,2000,0.4
49,9feFNrnzRaezjk82bhjaYVQn9zoxC9QHB5MFaZrS9q3Nfgf2jDH,2000,0.4
50,9gHV6UFAN4xQ2V2XPhujjv4huLHazob19A73M6LDJeoozsRMKWH,2000,0.4
51,9iNS9ZPQmYffxVeJYRUA6TdFxFnY3suykf38DUcd5uUyQGY35rU,2000,0.4
52,9gx5zgmBUgSta7r7A59EfW2zmUKh5r6VgSCCYRCcgVSw7qV2nER,2000,0.4
53,9hF41ZFhY2cSYBDqv6CRFwfSuDSTpYhaZCJfrqBZQ5ozxLhwknk,1730,0.346
54,9errxeG5ctmKBaUAqUGiSnRzgtp5Hd93MYRKjubBC4iHkMhT79b,1723,0.3446
55,9fRACpkEhFmPETNk6waSBbtbZezqRhWaxa1GXY434zmjGjyGLbY,1710,0.342
56,9hRUEX49NH4UfSv2sY2cWw8UjjXqP4wEdqK5zti1bRrCKBhXWdQ,1701,0.3402
57,9htURFVMuB6MrmpS7X7t5iT8hEhGpxUHfVdodJhmcxH7ySCwYnu,1500,0.3
58,9eyMsA1GUxysHJtNmx5XDiKMdjgDrTuNSd3nFNgMRHEJPNnyAiL,1500,0.3
59,9foA3AGiX4WmZ7zo3S5pzmKvurEm7Lbi7cbuYgg2AanJx2b2m4f,1455,0.291
60,9iNbBSEahh7y1v7v7XdS6gWGnZPUb4fcPCyRA9xzp4vbKqUowwb,1315,0.263
61,9fWXsfPnk3ViUc9JfPEAgDUvKQUyxyxNkKJKAx9733LhWEf5irY,1219,0.2438
62,9fc4rprxr2KL4hcqkooX9xKrjbDnKiSMtVhrzbcZLEgq5mfPeBA,1151,0.2302
63,9gci45ZwRHcv6fgZUmTrqsoQVZqmWDRA728ymaTeE7aJn2pob5W,1120,0.224
64,9hLZX9XnQrgabXVF8daQTbXhcMR5zRen398XaRotAZJDh8fCHDz,1099,0.2198
65,9hnE7HBx8EjXfFWt8JisvsS3TWVnTUsz9N7rq7bQKQZQStz4Nkj,1057,0.2114
66,9gYY9qmGw762bhsykwpYiiog8o2uZTowcX2qkdhYAZq3VDGjbkY,1056,0.2112
67,9gvD9FT82iiwEFpid6MzLkecWzGUwBskaMr2PzA8bBNZvyRDaw5,1013,0.2026
68,9fawLhr8pmsmooBh28WPttjKYNmzttztgQZCmV4xzsip7ZKRuaQ,1001,0.2002
69,9iFXVHyEURpxK7bBd8DnbXT7EEqym4MfESXnaHJ3ZXAoABbS33W,1000,0.2
70,9foRRyZHyhNwdeQkLHM6a4r4jx5R8meCwGdC4RSLANBkWjMuzQM,1000,0.2
71,9f61D5waVRYxnonFsmgFdcKTgc2nYP6ZLwH3BYMYSmwvx3P2Mey,1000,0.2
72,9gXuZXGdFyebF3FnDEfBrw2tDJe4kBbzdpq5rB1XPm98t88L7NQ,1000,0.2
73,9gWN2hYEkH3xBmrVgwCFf9uWvHNvan6HWp2AHqqfU5aPoS1ovEo,1000,0.2
74,9grjkyv4NtmkaewRmRVSGqW5SuoTFAUAZDrTkpU5VT2oJ4Xe3cE,1000,0.2
75,9fVFnB4ZxfwQvQVjugVggQP5NbpmbKT5pzFfWGD8PVam3M4oCBm,1000,0.2
76,9fNTDWz6jiVAAakSwQXoJz67vg9kJ8ckoEBvQv6vinGTCZAt8it,940,0.188
77,9hUQW15BikD9saSMA61FqQebCa1ye4hYdcQurojZMoPqhkNSDPc,899,0.1798
78,9eoP85s35Qezx2iLmSH9s8oAG5UgEYEmG4nK7PNjpuxLpe94CPg,830,0.166
79,9h84cUWV1D71dMWK7tPCEdve8dCaMy1UjyxgR2GYvVzRScGRuw9,810,0.162
80,9f8hiKKUYDtepUx2fUkREDphnkJ3xWLo9nHiBMYckCTy7reGCdQ,791,0.1582
81,9iDP6EhaHAJrKaMXBFckJSh6ueDXfCdQ4ZqEVkM7smTrAz4rJic,790,0.158
82,9fMqR4ooB37fz3EJUx6HpKs6RuLCixRGEvQySegYxhwT8TrmyHa,759,0.1518
83,9gEGD1EW91fdyFgLeFqfKUSxZ75uE9MMPNkXJaUseY7Hx2Eohcc,750,0.15
84,9hMkdMuXBXFu25YaXikAFYi7wxJ9ofcrXyHuifLeyvaDZxCnbPt,737,0.1474
85,9ebpCUrhSQAUoFXWeD2eqzZk6BoHBhh5mCJ9dts6hfu9BZJmruA,732,0.1464
86,9fpJBkr4mqiYjsc2kphpiJybzCYzRWbZVCWoeq2nE1xNxxWuYTS,708,0.1416
87,9f8pjt8HN99ytKBXA4Y2mXzTVDXW9arr6ULC9GtyyaMKu8i6oKf,708,0.1416
88,9hbKMjQqPQU5esfiNLB8zE6kcyNiCdYRb3eKRbaCfiftNbpnRsn,707,0.1414
89,9eXwjDL4EFFv4fsS6m6po49Ttytrtz3u2opAtsY2pqtvryGemQv,700,0.14
90,9gaeJs3NsL9uw4FwDrkLWcJeGmv5AR9qFQLbwikXmBsUG2jdnVH,699,0.1398
91,9gwQ1vhwWnaP9WMA6uAEobDBJQTuQaJZvWpHQYp6NrLs61ZdD7g,692,0.1384
92,9fjgsNRu7yFkrJMaYcnpqw34K4LuV3P2DokKHeLiiuTxkNuhL5X,691,0.1382
93,9faPRhy5gSw4zv8bUNh3e6B4S9Y18NpwAqJtJuyu2hopPRPsj12,691,0.1382
94,9hMdib2LwELnU2wspkn9DF8fdjhdkaznRP24vVyfMwcNR3uFcFQ,691,0.1382
95,9h7TczE4GpsJbrhCVrcug6HrYghNNLutyxrgsW3KoX8pemi4Ciq,691,0.1382
96,9iEa1DyhPQ1XybaNiF9Q2WhXPZ84SQQ7Qj8zPqFcJgQnPsGr1ri,691,0.1382
97,9gg8emSpMBRebuuZiAqxZEYeCETSsAQkBXEk2pKfoFFtNYSgTdw,691,0.1382
98,9emSCaGcjrCch4VTLTmZdPaC5MB5p4aY4hoozBuzHPn1Y7N9rZR,691,0.1382
99,9fZacuXXjiEpFxzymzC6cnjYG9ASmmHgFNE8KKcPwTP3cSYhzKz,690,0.138
100,9ennjqCsVexby5hKYADuX918QwRyHwwWtpDYf7vwNdY6AzU2dEB,690,0.138
101,9i1exh3tWQehCo8LVjRZyVeq3aSKaZ99bxSqhxKce3t6T9kvUZC,690,0.138
102,9gfRDBdnw2eZprjwC5EC7Bur2vJKH1JuSsu7EFizvpGFGdXuJbQ,690,0.138
103,9fHJX6CrsQmZSQvksCP2mpmUPMSZhwkvoTjw6pmr6KsqXvdKXzv,690,0.138
104,9hb4ZxKNT4DPNmPbmXdPPa3N5g2FyzBnUv1eCNRiCDpByAu8hUe,689,0.1378
105,9hH49UfhTdhyRpyfeK6knJUx79fqNKeYS3Y5xy9LrB421zzYAX7,672,0.1344
106,9fPHxR9c7RMq6wYTBjWQXUyjUCSpWRgwLexGiRdPQ5Zsj1PETa6,669,0.1338
107,9hK7cFCywB6NS1Hu7JxrfcN7VqgbLuFPKPjKJU66B6FwmzSZF9G,621,0.1242
108,9gcmnxYra1FHm7xz1LjyDBW8NL6yNu1KGmkfN8jRFixkZWqcr9C,610,0.122
109,9h5uZMwW3T5TFehgReNLrrmPH6hvPKh7CjWU3N3KP6fhJFGN2fQ,607,0.1214
110,9f3umn6bM2GJBFdoaatpEjmk3PAsmeUnrvVeoFG1QaFaQNMMAvq,600,0.12
111,9exYgdwnzxb4uD9ygUkQc6MNVs6UkfiAVojcmGb69rmj42DQbGc,566,0.1132
112,9gApXcZxf3LpYKEhdN7fTH8jNc4UXRE1oTHMqhhG29msPNXVVe1,550,0.11
113,9gN5Ak9umufapF9etGXykQZqNU5Ro1ShN4PuHxnsG8211iYMKSR,531,0.1062
114,9gMQaFu2CxEo8yQYG9wLo6UniCxQd6f4H9Lm3aGTsEwW6ULPumJ,530,0.106
115,9ehF9jui9aEmdesLXMXo3B2ftAqyiPNoNvXWf1QY4khC5MMNgg5,529,0.1058
116,9gdYALgZUpohXMJynWJed6JQMY4XDCjALhtmcQEHqcvW1H4bnhv,521,0.1042
117,9hB6bZrigpVXPUKSd2E2puAN9CouA9QXgSAzcDLAfqJ3SZismGG,519,0.1038
118,9f5wHqucm86kfsQrFa2E3kJPm7L7qwW9aNq4SzKxSMmptAVtxzM,500,0.1
119,9h1Eu4VJR14ttxWa2qJenz1RTtawVVpsxMyRe3xZ3YEHHgLpqF8,500,0.1
120,9eX7uosKW6co4XJg8er3decneSF8D1Y4jmkNxU4wsW2sXkwjpmu,500,0.1
121,9fYkTcfHM8fuAdrfeA5F5Aa69BcPqbFccA5Yir3g3yXfiemkZtL,500,0.1
122,9gbnNc9i1ksokFXuEz2XqpnjdctdAFRWpAoyx4xbhyWrAaQQRSc,500,0.1
