,address,amount,percentOfTotal
0,9esvkm1fV4vP8mEAfbMEDCX2MW5WMTM2jfPxpYa2bGYY7MKzMzj,346604453.52,86.65111338
1,Y2JDKcXN5zrz3NxpJqhGcJzgPRqQcmMhLqsX3TkkqMxQKK86Sh3hAZUuUweRZ97SLuCYLiB2duoEpYY2Zim3j5aJrDQcsvwyLG2ixLLzgMaWfBhTqxSbv1VgQQkVMKrA4Cx6AiyWJdeXSJA6UMmkGcxNCANbCw7dmrDS6KbnraTAJh6Qj6s9r56pWMeTXKWFxDQSnmB4oZ1o1y6eqyPgamRsoNuEjFBJtkTWKqYoF8FsvquvbzssZMpF6FhA1fkiH3n8oKpxARWRLjx2QwsL6W5hyydZ8VFK3SqYswFvRnCme5Ywi4GvhHeeukW4w1mhVx6sbAaJihWLHvsybRXLWToUXcqXfqYAGyVRJzD1rCeNa8kUb7KHRbzgynHCZR68Khi3G7urSunB9RPTp1EduL264YV5pmRLtoNnH9mf2hAkkmqwydi9LoULxrwsRvp,30061112.97,7.5152782425
2,9gibNzudNny7MtB725qGM3Pqftho1SMpQJ2GYLYRDDAftMaC285,7380014.0,1.8450035
3,5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,2360292.0100000002,0.5900730025
4,9gmFfWcGRVQ6Kwy2XUeaZS9MGkR3k5uRmZLxQCQULimyzqG8twC,1647849.2,0.4119623
5,9gDwFHximJuS52hunTqbnGPms9joQBCQ39AASZpLPFUgYRSjjDW,975000.0,0.24375
6,9gDRYMhFwz2FjAcyYxgSqbwTmRzbkkx6vMujcRPLJWuxWd57q1S,885000.0,0.22125
7,3gb1RZucekcRdda82TSNS4FZSREhGLoi1FxGDmMZdVeLtYYixPRviEdYireoM9RqC6Jf4kx85Y1jmUg5XzGgqdjpkhHm7kJZdgUR3VBwuLZuyHVqdSNv3eanqpknYsXtUwvUA16HFwNa3HgVRAnGC8zj8U7kksrfjycAM1yb19BB4TYR2BKWN7mpvoeoTuAKcAFH26cM46CEYsDRDn832wVNTLAmzz4Q6FqE29H9euwYzKiebgxQbWUxtupvfSbKaHpQcZAo5Dhyc6PFPyGVFZVRGZZ4Kftgi1NMRnGwKG7NTtXsFMsJP6A7yvLy8UZaMPe69BUAkpbSJdcWem3WpPUE7UpXv4itDkS5KVVaFtVyfx8PQxzi2eotP2uXtfairHuKinbpSFTSFKW3GxmXaw7vQs1JuVd8NhNShX6hxSqCP6sxojrqBxA48T2KcxNrmE3uFk7Pt4vPPdMAS4PW6UU82UD9rfhe3SMytK6DkjCocuRwuNqFoy4k25TXbGauTNgKuPKY3CxgkTpw9WfWsmtei178tLefhUEGJueueXSZo7negPYtmcYpoMhCuv4G1JZc283Q7f3mNXS,675620.76,0.16890519
8,9f6h7RxTkSA98AHPAj54oELWKrPE2He2e5xTwHbUxMpQnC96ZJt,663224.48,0.16580612
9,9i8orhhVPQpcWBpqHjCJP48R8SK7h61d9io5dbhPsFcKKqszUBp,499077.78,0.124769445
10,9iKQWQY1YWEo1yKS19RgVd3NMwzVsFkxgSsUL9g1P9irr5dsFSB,483363.32,0.12084083
11,9fbzAZAQauntRwsnCNFPb7DzT7854qWp4uxeWrhgiscW43aFGfN,388199.29,0.0970498225
12,9hN5z9tnWvM4SjQFo9MQxc5vymBa13ALXeFL8UssU1Poj8hyxPV,222213.33000000002,0.0555533325
13,9eYUQP7tZFSa34NzXYP6VzDC6kHWBZRwEw4pXEHC2MWGs75vCAS,222212.33000000002,0.0555530825
14,9hvB5rJhbN9LnwmiyBiNwcJGHN1GVHQyxZM33Bc4JRBBfQBaxVP,222198.66,0.055549665
15,9hd7fgHCFMb5EzP34QL3P9KtkknMbbmKH5cFFugJDwvLMtr2egP,217171.66,0.054292915
16,9epbtawt4ppto8P6UVaD12g3Yrzy3usJbJ6NF6YVDM6kKcuoswp,217171.66,0.054292915
17,9iLzpvyTbfmHxyiWURjjjopoRsY4t5mYD4nPWd27JyhaFzJV8Qw,202218.33000000002,0.0505545825
18,9f96HFjwVc8Dg5EZpR4v7ttYbf7hQ6TEgWVotWT7b9M3xAn9Eod,188880.0,0.04722
19,9gma5GwTDfAmfs2mJQVugdXNazRaqeAmA43kpUVaHvm7djix45t,167000.0,0.04175
20,9htJf9LcukjA3ziSeyopcHbN9u9U8w6mXwFDi3g3Jjjesygue9n,166666.66,0.041666665
21,9gD2ECMEFwT4vTScPVRAvkn1itWtE224TveyYFhJjhMdaKMP6zR,131000.0,0.03275
22,9gjBF8U4zfxBMWbT5YHbMK3y62iXC8BBpRoreYjhB6rQzMwtvUR,114122.33,0.0285305825
23,9fmonodCrMrWwwLzQhsrqibzhDccT8AaixqLjN5NQ5viTL2qTUg,111096.33,0.0277740825
24,9fPq63tDbXdBefU82n1ZpJBtKpkDpGTuiq6pm8L8auf2PNXqi8a,101595.03,0.0253987575
25,9efMvRzhJrvTg6rA4LDUZS2JNjVZiUisfx2yVspBadQX6jYtGhF,100606.0,0.0251515
26,9fuW84y7cTdt2yYzS2hZVtARAeuaZyztbRE1NfqfLXK2fgomiyS,100356.57,0.0250891425
27,9fgC8VTEHc7WYczc2CBn5f2iXnEY1LwAbQ7K7DWxdPith9fQd8e,99001.0,0.02475025
28,9f4Jt1E3nUwhLeYVAA1kwbfWNkkMMaVpBgPDNPxuzCT6Nhe1max,91834.93000000001,0.0229587325
29,9hzpdBFpJw5A8fTupGUF386cdwd4A2pKmNweRFeBj22oJiMmzMg,90883.33,0.0227208325
30,9hNdoB4bKSCV9hgwTG5NAhFWQKSA99kL7fwEArQRocxndkBZFeA,88200.03,0.0220500075
31,9emxba3qZ7jjywaUPhdLwMo55oBWdLrWj4HXc7eqMWH973fF97U,84496.66,0.021124165
32,9g3Vuc7SFaqVVe3sbuU1wHP6L4rhzxEuS1VpMtKhuNL9EdjrgzA,83333.33,0.0208333325
33,9f1o2chjkzxWLen8zYdYuB5pAZqRjVxAvTyduFVgFfeaCCouLoD,83333.33,0.0208333325
34,9f3JHWuHLWXvxhuQVAf3H2S3E6knFHReoR8L6X8WpjrNn7jtLZm,75610.33,0.0189025825
35,9hjoXeHHggYQHkRSoBhgsRCckg34iBqkL7kHrpH2t1az9pH8ou8,67171.66,0.016792915
36,9hK4mfWG7EgFCr6p1mPhXBSWQAzZm57Es2a8NWtpQeXbTvALjx7,66590.13,0.0166475325
37,9iMFq5K55kqN9Qjt7XUfXCDVjnc8dkpiTDhncT7KBZASawFncVc,65374.74,0.016343685
38,9h5PmjJsuXoaZwB6t1Zojj6NQTZPBoFrYXMazrti9sDRcSUtanh,65249.99,0.0163124975
39,9hxpJEUnhDTuMm4aQWinVoWggmZ6wmJWC6S2y5c1QTWEnxPscQz,55560.0,0.01389
40,9hbUKG4EXpnas6sbzrJemog5zjiigCDymY9mMTGnS7FtdyAMwik,55522.0,0.0138805
41,9i7xJ88eeLCg6JVyfgFk6MV77wFNyGMCjp7RVcKTeVdf1WV2NEg,53751.48,0.01343787
