,address,amount,percentOfTotal
0,9hUkuGeg3G7TgURw7fQViiSBwnpL5dRb4hjs5JgPSXcaGNNXCwS,202516126,20.2516126
1,9gRqfAe8nsdT9FweH8U4SeyHP75op95qrmrxT2TwPkAjUdrkRDD,98800000,9.88
2,9hELNaU7Z32eENLpWqu6tdkJbFbpB2msnw9fjMDxaxg9HfdUis3,60690435,6.0690435
3,9ghcSLzTUe9c7czPShdvpvCiB5z3GMxuo4HQJv73VttGUwp3UPB,57080844,5.7080844
4,9fznGPQqEHaFPfkAEuvWYtDNetSW7bRLJMmWUAzMZnrqLB4njVr,54000000,5.4
5,9hqgwPRXRYsMst1AgNNUXmgQu8vkPGGtEoxfAcBwmyTNApyuUL2,51678578,5.1678578
6,9f4BxL3AK3mahQbYsocNdw1YQiZDVeUa5QZjMJu7ZF4SMVUC1N7,45597941,4.5597941
7,9iCznZztuQARpWj86P53QFkN6UhyHXGUuRAxD9EtacfVUtoYVE1,42405504,4.2405504
8,3gb1RZucekcRdda82TSNS4FZSREhGLoi1FxGDmMZdVeLtYYixPRviEdYireoM9RqC6Jf4kx85Y1jmUg5XzGgqdjpkhHm7kJZdgUR3VBwuLZuyHVqdSNv3eanqpknYsXtUwvUA16HFwNa3HgVRAnGC8zj8U7kksrfjycAM1yb19BB4TYR2BKWN7mpvoeoTuAKcAFH26cM46CEYsDRDn832wVNTLAmzz4Q6FqE29H9euwYzKiebgxQbWUxtupvfSbKaHpQcZAo5Dhyc6PFPyGVFZVRGZZ4Kftgi1NMRnGwKG7NTtXsFMsJP6A7yvLy8UZaMPe69BUAkpbSJdcWem3WpPUE7UpXv4itDkS5KVVaFtVyfx8PQxzi2eotP2uXtfairHuKinbpSFTSFKW3GxmXaw7vQs1JuVd8NhNShX6hxSqCP6sxojrqBxA48T2KcxNrmE3uFk7Pt4vPPdMAS4PW6UU82UD9rfhe3SMytK6DkjCocuRwuNqFoy4k25TXbGauTNgKuPKY3CxgkTpw9WfWsmtei178tLefhUEGJueueXSZo7negPYtmcYpoMhCuv4G1JZc283Q7f3mNXS,26892832,2.6892832
9,9hXN8UhqZ55zsuJGENs9a3wS8cEKz2rpe2aZpSeU92HUaLHDeBV,25000000,2.5
10,9gCiXdmND3MEdGDRvdwdtoEsTPzDUt1uqgE4DhRHQzxS2CZAVZv,25000000,2.5
11,9g1sK9dcAcxkqTRC864Ldpp89bXGxNaxYyVgAj9j5hGV3wGRn8d,25000000,2.5
12,9iLUopWqqRH4nrvth69Frq7WLfpyzx3zdhovRNitjsRMHSTUo9a,25000000,2.5
13,9eaVqoaiwHn25yFD1hsbm8oNedajnf2LFjG5Vnd7KFH4BwF34hF,25000000,2.5
14,9fXjzCX1K8wA3wR3hevJWnGJiMiMRb1ma1BjDfLs424MXMVR1GD,21650900,2.16509
15,9hVVez2neovqdPKuFeYotbuXuKPzjNQZMnAM8gwSEHqScze2MXq,10002000,1.0002
16,9ezkVoMPzm1TZE4DaTi17nmETpTsQcXrWtFnbPV7B7ucRQgWB9Y,10000000,1.0
17,9grjkyv4NtmkaewRmRVSGqW5SuoTFAUAZDrTkpU5VT2oJ4Xe3cE,9874856,0.9874856
18,9gdYALgZUpohXMJynWJed6JQMY4XDCjALhtmcQEHqcvW1H4bnhv,7357281,0.7357281
19,9gHV6UFAN4xQ2V2XPhujjv4huLHazob19A73M6LDJeoozsRMKWH,6184373,0.6184373
20,9eg7xysi917hv3jjwiizyqnc8PyUhumRu12aLesUZXhR3fEuCPG,6002000,0.6002
21,9gxdDfmG3eymAonGCPS2ikLyGQxYuPFR7FPM1mi1gbh3jTAhwRX,5155254,0.5155254
22,9eoFfD8fGscvhmo2T6zTJCsamDukjLJ6BmUZzr8rLPxibaErfvi,5000000,0.5
23,9he93CMjVdJJv7LP7MbQaVWncF8MCdGJRekUtaCb3eUdvnxHRk8,5000000,0.5
24,9h6FAVJZwh3vyiiebBXBiHGiitMuGW5WNkB42iGjgD1DyhzP9gd,5000000,0.5
25,9hB6Xmhktyzd8f4DgxoLaoiWtdLMKg4cDBePN1D6ALYbcSrHLLJ,5000000,0.5
26,9eqoFP4C6uwLVoZfpV58q16KD3BPA7kfKbqXbJtFF8fhb95tHHv,5000000,0.5
27,9i6ESWiiede6kUJ3HuimzVV4J4vBZFXTdatPmC9HoYuyEZwZJeW,4378810,0.437881
28,9g7UzqBHDE3325gixRdfPgdZDohQ1tDSd5dD3bJt51qWyKrtFhE,4000000,0.4
29,9ftMy3VoBHRmTKdXenRkRW9PZHVJPngfT7z8FRRi6yPNCjRg4x3,3761856,0.3761856
30,9fzbB9JftKcNQkUmSijaW42KwX7yxQoXoyW4Jg41jzY8GAvrqTJ,3016000,0.3016
31,9fTRCAWyTEngnbvYi7wofUdDS5baebDNhkd6hRhtTCtWNjn6qPN,3001000,0.3001
32,9i8HAN7tKVqPvc47h8yVhFw3GZ2hghQAEWqLXgDdkhSDeuYZWjV,3000000,0.3
33,9f4JB8CjaBcn8RApoZfRwN9EdWEYHrZnyrPmaEUZcVCcrsNtmyD,3000000,0.3
34,9fHaaSV2SffrtogKuwPESXbM2mo3tE5Hhp2v4qTWan2Pmqq8cQb,2585482,0.2585482
35,9hbjiECt4SjKat5iaSK7Hxo6RyL94hACpjt6KNj2NTREGNzFDmz,2318405,0.2318405
36,9h3DjWYXLriAn5cox3CeCFGxngTY3JQpy9RwZwP4x1xYAjeSN1G,2271000,0.2271
37,9h9MgsTFVtce9jV3UKTXxy9Zr7q8XNqZDZFsR3HF1jZu8GLDugx,2005000,0.2005
38,9gqKR36KAz7wPjcMXTgheKBhYc1yc2PNFB2c7yyTdfGn1QECLWk,2004598,0.2004598
39,9hVdsrrDVMrQvfv9J1TL4Bo1SGHrCLku3esdtXkTkmkDoHWqDLo,2000000,0.2
40,9iFyVeAEPpGNmt5n2yLq94NDyZNXRuHPuzNJ1qaZ5cP3PTC3E5q,2000000,0.2
41,9hE7C7hFteQjiLVJUghjdMk5b9J5vL326aKamf4xzHe7yXmGqgL,2000000,0.2
42,9efcJtB2LEAjVBZVqaxBNgtev6ePCcUz7P9UVXcnGYGupbWgnu2,1896004,0.1896004
43,9fMqR4ooB37fz3EJUx6HpKs6RuLCixRGEvQySegYxhwT8TrmyHa,1870000,0.187
44,9ezUvXqhmxB4pyF1DAUyXYyLpGZoLNBzzD4UhiRsRHuCTc6tAPM,1773333,0.1773333
45,9iNQ7NbyKMfKUN9zKED9YadfDUqNG6ASKGR9y7RGbXSiJYJddq9,1682716,0.1682716
46,9hXGQapjCT4rajABpHdLC2r4pt2Nzsik468uEJuEAcUcJYoK6Yw,1500000,0.15
47,9g7fAbNvKsTUoQHx6CunQ3LhUmFuXwU8vZSU7qKMe94v9UZ2foi,1463544,0.1463544
48,9hBnV23wFNnAfKbG9ewvPtmBHTTN9Hgd78RkRRS9EqpgBts5mhc,1420000,0.142
49,9g1N1xqhrNG1b2TkmFcQGTFZ47EquUYUZAiWWCBEbZaBcsMhXJU,1406432,0.1406432
50,9hKyfyJoWJD5xCYknyQJK5pZSKVXcuh29htJNYuRALcLm7n2a1F,1351000,0.1351
51,9fDBGcQp7YwCWFUca8w27qaecab9cQuCzwHwXazNGKnuCbjV52i,1157122,0.1157122
