,address,amount,percentOfTotal
0,9i5kFeYw5FGbtsehAEf8nWtGRtVHz3TM1MJTwbCam5cvc75mGhk,5026723.0,25.133615
1,9hhWppQ3CaoZdfj6Eh12yrYmtBZo2S5K5aiJ1ZsRPcERaNo6L61,4823409.0,24.117045
2,9fRh3rRHXCSGFFo6sfbGUpXqYns7hqGmyCaPEX4y1D8cGJ6tBEo,3046696.4146731603,15.2334820733658
3,9ek24HmFeVA8Pt9HJaqV4e5eZAsR956pZp2z8na6T5MFDmgn978,903449.32075742,4.5172466037871
4,5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,691547.69209107,3.45773846045535
5,9gYsBHTuEQnKoAY6Jzbx3keyyJRgVosUBzoS9LzRUGFBq9wCCsU,447040.28601522,2.2352014300761
6,9fDt3zrS48tYnbdL5QHQx6GwCbanZFuSsTVGkGjATv6Worp9J7a,446951.24865966,2.2347562432983
7,9hcn2FFmsivUAoqG95KbD555HAfDbazd57t8HmbtZ8sFpiepCbC,204565.36848226,1.0228268424113
8,9fHm4Dz63YdWxtMViuGA1A5EYYvMdbqivAkovRuiTsgqkqxzqpm,186272.59250887,0.93136296254435
9,9fFB1esciHrHj9WSckAzHqFWs2ctW5eDWb37Ld4jFdh48PBnH99,180373.05606245,0.90186528031225
10,9edMzXZVzL1z2CdZomdtoVBUSWEunVBHuY2UhguLyM1B1uECwXX,137757.0393118,0.688785196559
11,9gHV6UFAN4xQ2V2XPhujjv4huLHazob19A73M6LDJeoozsRMKWH,100695.44877066,0.5034772438533
12,9ecimsGPAUcqvEK4ZYMyVCfsQryLiPk9y8yiff9D2FAHPRfPorH,95884.10485041,0.47942052425205
13,9hFKpeMKccJYSCskJLN9oG7Q2VHXVhNRTMdeBoiYEEEsdo5M7iB,78821.00558184,0.3941050279092
14,9hsYS9uEyMLg5mHYTctWK6o6WLF85q3ervpeWGVDtuRsePSLDmW,71136.35038021,0.35568175190105
15,9egMNWCavsWbrMWyTmrakhxiPXRx417GUx6ExTsZTnaJtAPXQvf,70251.0,0.351255
16,9gpKDSRJji6oSEaBHKV4BRT683aMNB4eb1eevrurBe4QPz5k3zB,70250.0,0.35125
17,9hb7Q5mXSccMgzv3RKzAgm38sRYLZLUgJi9BBZ2LiJjH9uXSK3e,70250.0,0.35125
18,9hXTYvCKRECgTmGJXp9ZcMSi29hMvP8kspJUZSnPCaD514f5EQr,70250.0,0.35125
19,9hE2y2PUG7qZ8MjdzzLBgkwyeSVK4HKW2YpzPVEpi99X56Bru4x,70250.0,0.35125
20,9hy5nHn68hMcptNi5SJmTabKsXUFxCH1yzKejthQfw3NnVzi8gX,70250.0,0.35125
21,9gbnpW1VBBUbHLsEiMVtYodS5eonrMD7eYyHGf3LMbgKNnqncNH,70250.0,0.35125
22,9gcoXMnxJiTvYiimXYeBbRrAbQYEGwoddzEcVrkgD6F4CTzuPff,70250.0,0.35125
23,9fq6TRKT25oiMgd3UAkeGcYXS6n5wWHRABPQvLNgXGKZDB9u6P6,70250.0,0.35125
24,9iBZCNSa61JCruytAqHRvK4tCs1SCnxZUzdibuHMKcqKykJ4NYt,70250.0,0.35125
25,9hjp5sHptS44Lodjo52Vk8b4zMbmmP6Zpk8ZJZcvvSMXSaKKvot,70000.0,0.35
26,9hFmZvLKMj2NjroVNrk3AoADQvQ9p9C5Nny1r2519D3VVSaL4XH,69823.6509699,0.3491182548495
27,9gXan1yTQoy9yr8Hm3QxG2PEVP5pvuUmUqJopM3MbYQft6kxKmN,65625.85782928001,0.3281292891464
28,9i8J65RSGgqrFgboXArKxg2UZq7vUkRe93Sx7ydPU5sWyoBHD2M,64673.505268910005,0.32336752634455
29,9fJKy2rRPpGEnYD1chb1jyWmPezmyYaYncox4QbAQneN1QRA8o7,50250.0,0.25125
30,9hCA5ky6wL92BVzHjMbTsuWbFZqjJoU4frHQaHUxNAuquq1YLHu,50250.0,0.25125
31,9hWxhDjRmvLfpmr3jDxYToDaXDmpGs4Xk85oEvNKCq5bBR7NJht,50250.0,0.25125
32,9gVvBYSkXRGgD6RgdHw5ywmHDwQd8TxVf8aDebKGGR4ttzsgwmD,50250.0,0.25125
33,9i2DrtW1CR1BuPmLHttURBQuugCNct5pVXueuHRQsm15ZGuwUuG,50250.0,0.25125
34,9hVEKHofksrrcW8z4WWkTdMHrbcKAME1z4NBENYcHXuie18fBQD,50250.0,0.25125
35,9eiiNvdXez2SGJYMaL5ixSngXfgQnDyjTqjMgDJZSRg1nrmEmNp,50250.0,0.25125
36,9etv2noV3CNB1toHHEwqzrNQaNBALhguYcCETyEQPEKafhDaEch,50250.0,0.25125
37,9fswGpnkwHdaYbco2uSAAt2pHtCcZP54Wuh7Ccd4Ck984Navvmw,48765.92658685,0.24382963293425
38,9h5JTf3c2YKbGuJR9W3HkN8v7L5axFqXhYC4UbuanHvwKstTy4T,47000.0,0.235
39,9h1H2mJaDERRmGRvMPdHgyE1sKQoVERVduhRCCt7PLDDhtn1Dm8,45663.24658773,0.22831623293865
40,9gGCHr68s4ssEz1t49UFQpUghTLwa5qUSASP5p2C2rrUTyH6rTc,43500.0,0.2175
41,9eityESuYGYfkjHPTycgu5JtAHia6cP89mtwQeq8FRSwz6qrv1U,43031.573979450004,0.21515786989725
