,address,amount,percentOfTotal
0,9gJW6LPpEbbzDpxZYv8iLGt1VypFdxRK2BuWGqb8AbAsFihXvYs,951202176.0,95.1202176
1,9gVBkmuwmiam9AWRKsAxh2XkWZkqFqtuQ3U5EnUoNLTcqyqKt96,3000000.0,0.3
2,5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,2440846.598132,0.2440846598132
3,9etvJVX7khTiEFeczwot5UHSXAhDVJh8z6g91RTE7N7QqyhsqHq,1038493.028314,0.1038493028314
4,9enonoMb4sSEXe9vqZSBP7p6tLRndpzUCoBLBaohxwDwt36figi,750000.0,0.075
5,9esDXJprKVz8gfggL3fLW9w2dXUZ3LvZB7eGjpgaGW4jxmC5RB3,750000.0,0.075
6,9gFTSq6vqFd7rwWg9Q3Q48EH8fzU9GkuVhGP21ZRVzNBx8yqq6w,681746.521805,0.0681746521805
7,9fbzAZAQauntRwsnCNFPb7DzT7854qWp4uxeWrhgiscW43aFGfN,565679.641108,0.0565679641108
8,9eYitX8Nq3PFUUhDCmawVwqbUGWqcuz46oWoAfbjBAbUqLSwtJv,514025.414779,0.0514025414779
9,9hjUpUtAGwgricfV3aDs9pkCfea7uTaN2czwadbJU3DywfLDfmJ,500000.0,0.05
10,9gRZZx2Ri4LEPgEEjgtcGAxMHzigEwzphwSRFhFmJTNEVFuC7nU,500000.0,0.05
11,9g52dWLkf2MY1vp8HLgW7MKFQKdXTZL5E5jfj5ACySntyRHMshB,350000.0,0.035
12,9hRxg3wCJPtsKgo6MwsSsFJMGNvYjkRGM9vx92pbd14q3mzUmZK,307126.0,0.0307126
13,9h2VdeSHToChJrvVozXFxTQgNd1fdBbS6By8TuHURXsmmw4HKaD,250200.0,0.02502
14,9hMU6YEdnDNo99t7RNrSu3sH7Pht3CbvoSv2zGTc1UefS2kwJ9S,250000.0,0.025
15,9ew829252reiYLFo72hqcMyJAwSZ8GuqxnL95KKiph3GTuTurFU,206131.939728,0.0206131939728
16,9f5oCphB9d5Ye1vnnRwNmNFWUEU9y9W2KEYe5gwZdykj4p5UQKE,203466.0,0.0203466
17,9eo28E3UsUSSsxLs5WipBq5nyJ9mJ9XF8KrdXVF4L38gatm4k3u,200000.000002,0.0200000000002
18,9ebbTorrCUsWZhSC3Xwo9tEb5q1r1zRYYNgXqeHBCR9zEwcroML,200000.0,0.02
19,9hdwdAsfjEUFnwTNFN7JHgDqthY8wVkMyf7c2LE2PoqZQ24GEb3,200000.0,0.02
20,9hNYLZd9PCwbAgLMUMorDPsK5JKfBT4zB4EgQo7YQtxV5q5xNNs,200000.0,0.02
21,9iPE5ispcPCuWUX5qtze48pozRNAj83bmAzx2UQKae2Gpp3Ad6R,200000.0,0.02
22,9ep24W7eCZH8eFXNH7NtgnMeMDsopJBinwGmfqCZpnKttrBrbEy,200000.0,0.02
23,9hTPyrGzFSdHwbyBkYRbLQYcjwK91rUbafAjGjAJcgo5S4NvnFx,172753.251158,0.0172753251158
24,9fHm4Dz63YdWxtMViuGA1A5EYYvMdbqivAkovRuiTsgqkqxzqpm,157959.319103,0.0157959319103
25,9ebjD7xyYjHaimJaPimrHHUHz2ugZ8Mqtmd7nD1MPwKivp8yT44,151703.50212699999,0.0151703502127
26,9f4Jt1E3nUwhLeYVAA1kwbfWNkkMMaVpBgPDNPxuzCT6Nhe1max,150535.962943,0.0150535962943
27,9fNzuSFSbTA5fCp2NzKAnCStx3JaKuHWFeKkkQph6TLbH5VQTZ9,150000.0,0.015
28,9fhy6WaJyBLFSfWTksM9ys8skwYZksCjqTJSMpgJ6ePKvmJ98NR,150000.0,0.015
29,9hPXewKiQyTcgLvbAXEhdDR38vD7KjUxBWFTqfwE1QJ1L1XPteu,150000.0,0.015
30,9g4ghzadNqAgxB6t44XYyW1kXJWufCe7AFRpgjWgNW3WtWk7GLL,150000.0,0.015
31,9f278pLhsshVFCztoRRGaTjkDnPD3d4roDQBvZdJGRfDgdnnWnt,134423.0,0.0134423
32,9h4zahy8AwYvexxdBf8pK7h9YGiZFpqPumZhftogcBMbBxf5aRs,132894.126169,0.0132894126169
33,9hSmhGbJo8wtw5X1S3b4sRSQtmAHcRCoVdnPgH3tRjN8TVhsQkU,131763.0,0.0131763
34,9g2YurG5kKk2CnH9uEpXoFBzJZaxU1dVq2jM1WQAG4jFbJe4BPk,128890.0,0.012889
35,9gLWTW2VGHS8gQUMK5C1uxCg2ZoeE2Qww5xRNEPzmxmYWF69Dad,128000.0,0.0128
36,9fZ6KrqCBNmWUcUr59HZ7ejcnTFRZ9ofzDHpTQsZRe7YcwKYm1w,124248.817063,0.0124248817063
37,9gquNrJMhLtcoWS12y2PY5gVmanwrVW61SYwVUGRpgEB4DZg3eb,123865.837927,0.0123865837927
38,9hFKUc5tx5A8hsWF3VKU3bE3PDsj3Uv5vv52yBropgvZwASy2Ah,116996.0,0.0116996
39,9hYgR9g6XBPx8dX9VawHY17TVCKQ88NLZB8dr319V7j8R4AJZSf,116300.09587599999,0.0116300095876
40,9graUN1zm6ud7MMdKNzCv2R9NC5UDF18ZLPgpRubVqB6JMKEThp,115845.0,0.0115845
41,9g9Cde2se5KeqDyigEAsDgT23uMBdAjtv5fdEatb1xMF4RB49cd,115033.0,0.0115033
42,9gtEDy4nsMpZdo2yb6PspCPTeJq1RTZ8NVHc2N6556W56pGR2id,115000.0,0.0115
43,9f2x273h9UyWD9w9efjtc9z7KyfNSqf4mZeLrsgVQL5HdVMGPL5,113496.21432999999,0.011349621433
44,9hzFEujD5Lbk2YBzArPhgPrytEdNkY2AY3uRPdhkgcph71AZJKW,111200.0,0.01112
45,9grP8EZa7t4bFDkpxioYctQd8P1fZkvjFGGYj8WKhgmFCvK7kKC,111090.0,0.011109
46,9gzkogA8JSL1wp2m8agx4KhuHCvizMfMHk59kCdq1DG7ptbSmV4,107066.0,0.0107066
47,9iPqpyd2fBD8ydtM8pSbgaFTxyTzvqujfouZ7gFAc6R9Z8kCrHb,105000.0,0.0105
48,9evKSPmTUfu62tFQszampUdwBB2j2LA9fH14TUa9W8ZW28WpuxH,100375.618483,0.0100375618483
49,9ey93LELHKZAsva4QVgoVu1bPF6U8JHH4GmpetgqjyBKh42t2bv,100192.0,0.0100192
50,9hwFX99TSd8ijDLzpGtPc4LN8QsqfYRySPi2enuqdTLS9jps6Vw,100000.66430599999,0.0100000664306
51,9h5m7nL2ByV2NiMKjGZ4fSxN7jtLpueiNesxcvHsc6tM6LEoCDZ,98000.0,0.0098
52,9eyxaEXuLdYBymGa4KQhd2doRw1Y6zUGahEZ9cqxq6U9PtWdtFr,96285.491919,0.0096285491919
53,9fEbfUNPvH6DWjJ33RZDex4ZsXqyUGnYwK72QtoGgDTmtFHPT9w,92457.120851,0.0092457120851
54,9guWz5fh9DKLnCbco1Djt4Q4Vz4crGwAyE3nCDqnF4hqQvxpUhC,92056.402632,0.0092056402632
55,9i6J2k8UfAPeUnk9dH2VKNrtHK4JHYeajWKCK1au7oo7n1ygozp,92000.0,0.0092
56,9fhqHqJWS1RDvBGWyUCf1s3nuaVChPnaF7Wv16zcYjhD3osFmEc,90965.687538,0.0090965687538
57,9f7sW4QcDXgEXNitWDnmwkzccTE3u7pDEL7AxDjqzwPZdbDbVgs,90099.0,0.0090099
58,9hfEcwmpv9WqNpGSw1BtjiFQuZpQVHcwUbpM3SthELocxRKPoqf,89399.0,0.0089399
59,9etDUKyqExANLbyeFHPxWcuKk7FXaNjfWjGaQMmfQ92TqoQ1kho,88543.0,0.0088543
60,9hfUb29gAB2KTnvyg2kB6Pf3STjvHrhiqstx55LSKv2jZewB4SU,88276.436116,0.0088276436116
61,9gC1wn5ZZephxqm7EfMrA59vtK3LbaN58mg95McdmEZEC8Eipwg,87091.817272,0.0087091817272
62,9fYS8c5qaB6fYUb4vPv4qf8vRBShNJvCnwHnZ2nBqhANZN6Phq8,86979.781879,0.0086979781879
63,9huWhBZexQhQKEG33MzfPfJEgzyVnT3hBg8azpHPSvehjRVGhwn,84005.0,0.0084005
64,9ghQ5E9rXgJagLU25cf7889kr4T78HyxTKUsVVKLEcoKsWodyqb,83869.0,0.0083869
65,9gaPHbnTprKnQdDzR9BHej37qTbvXMNzr4NFk6DXKePmdYX2VGj,81796.16911399999,0.0081796169114
66,9hDtWSr6DUmAJHEUXjXWRHEaU3YHtCpmZxnQgzCeBKLPsz7iFLJ,80400.0,0.00804
67,9gKCskJZvHW1dMjd2MwYxf7WtVsuZg1fd4yzj5LpTrsJL96JcSS,79952.279042,0.0079952279042
68,9ezSWSdUZGfokwqaEiDTJd4G5EJQLMc2G668n61RhuYwsfEj1bF,78690.309131,0.0078690309131
69,9hhZ9JNZ8G74bpNUG7TGcaJN9eE5FsTn3JLvAEMMvEbWwuzsXbK,77369.0,0.0077369
70,9gmTqkyXvMwDCtTe54kVqih6MHBKK6oNyuWDPkANHoKMEYq7RF2,75215.25387,0.007521525387
71,9gAC1oT5k17doMbdDmg4rMSxh6ZrqHNS9WqCz5WFpgmn13Ynnti,73566.0,0.0073566
72,9hxPBhYskbJqqrdHu2emNnJFmR49jRxMXTGuLoKQBzHid8nG5ZN,72293.32631599999,0.0072293326316
73,9f46dLU44Em47WpU8J7EnUd3UtCUMRTiu4oD1ke7hSzxjMG1LVR,71654.0,0.0071654
74,9iDF6B8jmouGQbuJ5tJogRWexWJy4U3esNxdi8DLfUr2FMZYG4x,71566.008057,0.0071566008057
75,9fH81CKCsVPoaQQU2X6Rq7bDZzfQz1XQ2qMfRcrj7BqPyurk9dh,70759.79452699999,0.0070759794527
76,9iNt6wfxSc3DSaBVp22E7g993dwKUCvbGdHoEjxF8SRqj35oXvT,68565.0,0.0068565
77,9gDs7McoCto15k7TiD2dwbgtnYMoPtVKF7BWp6iWVkms58SNf7g,68226.0,0.0068226
78,9i5QMbUCD1JGjzMXLgmG5tNTPhypf2uNvuvNTip5QTHUmTJ6ThT,68012.00384599999,0.0068012003846
79,9frJ5PqzYvGTzpJekDTKz6Eu5spsFYLF1uEBJn2u4pmJUgr6ANS,66900.0,0.00669
80,9iAnfMec7Kds2gxH8jaqMgSACr8V96SpTWHLQuMkZRxRy1ZMTt7,63704.592734,0.0063704592734
81,9f63KAe5bkmHknSgSDZUbWz2nSYMU1SstFsnQWfuDaJDrofb9C9,62202.0,0.0062202
82,9i6DnghDNVDc6zoogB2qhxu5BXE7taJgPPYmiG8NWwgk9j59BtU,61236.0,0.0061236
83,9gUp93ztKB5FHFdaYpNDmbhAyEeRzDja68RJwjKzMg2Rabvromy,60678.356654999996,0.0060678356655
84,9iFZa2cbmses2zym9u8sTn2reguRK6Yx4Lwos57UipwW3mGzSyM,60603.367362,0.0060603367362
85,9gEWkA9HzCWw27Vk3WBuLd7vDxgikV5zNUZ1GZbaLDodWY3tpmC,60252.504778999995,0.0060252504779
