,address,amount,percentOfTotal
0,MUbV38YgqHy7XbsoXWF5z7EZm524Ybdwe5p9WDrbhruZRtehkRPT92imXer2eTkjwPDfboa1pR3zb3deVKVq3H7Xt98qcTqLuSBSbHb7izzo5jphEpcnqyKJ2xhmpNPVvmtbdJNdvdopPrHHDBbAGGeW7XYTQwEeoRfosXzcDtiGgw97b2aqjTsNFmZk7khBEQywjYfmoDc9nUCJMZ3vbSspnYo3LarLe55mh2Np8MNJqUN9APA6XkhZCrTTDRZb1B4krgFY1sVMswg2ceqguZRvC9pqt3tUUxmSnB24N6dowfVJKhLXwHPbrkHViBv1AKAJTmEaQW2DN1fRmD9ypXxZk8GXmYtxTtrj3BiunQ4qzUCu1eGzxSREjpkFSi2ATLSSDqUwxtRz639sHM6Lav4axoJNPCHbY8pvuBKUxgnGRex8LEGM8DeEJwaJCaoy8dBw9Lz49nq5mSsXLeoC4xpTUmp47Bh7GAZtwkaNreCu74m9rcZ8Di4w1cmdsiK1NWuDh9pJ2Bv7u3EfcurHFVqCkT3P86JUbKnXeNxCypfrWsFuYNKYqmjsix82g9vWcGMmAcu5nagxD4iET86iE2tMMfZZ5vqZNvntQswJyQqv2Wc6MTh4jQx1q2qJZCQe4QdEK63meTGbZNNKMctHQbp3gRkZYNrBtxQyVtNLR8xEY8zGp85GeQKbb37vqLXxRpGiigAdMe3XZA4hhYPmAAU5hpSMYaRAjtvvMT3bNiHRACGrfjvSsEG9G2zY5in2YWz5X9zXQLGTYRsQ4uNFkYoQRCBdjNxGv6R58Xq74zCgt19TxYZ87gPWxkXpWwTaHogG1eps8WXt8QzwJ9rVx6Vu9a5GjtcGsQxHovWmYixgBU8X9fPNJ9UQhYyAWbjtRSuVBtDAmoV1gCBEPwnYVP5GCGhCocbwoYhZkZjFZy6ws4uxVLid3FxuvhWvQrVEDYp7WRvGXbNdCbcSXnbeTrPMey1WPaXX,99998567614.86,99.99856761485
1,5vSUZRZbdVbnk4sJWjg2uhL94VZWRg4iatK9VgMChufzUgdihgvhR8yWSUEJKszzV7Vmi6K8hCyKTNhUaiP8p5ko6YEU9yfHpjVuXdQ4i5p4cRCzch6ZiqWrNukYjv7Vs5jvBwqg5hcEJ8u1eerr537YLWUoxxi1M4vQxuaCihzPKMt8NDXP4WcbN6mfNxxLZeGBvsHVvVmina5THaECosCWozKJFBnscjhpr3AJsdaL8evXAvPfEjGhVMoTKXAb2ZGGRmR8g1eZshaHmgTg2imSiaoXU5eiF3HvBnDuawaCtt674ikZ3oZdekqswcVPGMwqqUKVsGY4QuFeQoGwRkMqEYTdV2UDMMsfrjrBYQYKUBFMwsQGMNBL1VoY78aotXzdeqJCBVKbQdD3ZZWvukhSe4xrz8tcF3PoxpysDLt89boMqZJtGEHTV9UBTBEac6sDyQP693qT3nKaErN8TCXrJBUmHPqKozAg9bwxTqMYkpmb9iVKLSoJxG7MjAj72SRbcqQfNCVTztSwN3cRxSrVtz4p87jNFbVtFzhPg7UqDwNFTaasySCqM,557141.0,0.0005571409999999443
2,9gbBi42AZGqMUmCoRzVe1KAGWvi3p3NJgTXpAcZeMkLa3kfF9TB,400000.0,0.00039999999999996
3,9hSEnLPY5q84HJmE2E82gcWK8N3wjvStbcekHWvkdEmciURZGqh,225000.0,0.0002249999999999775
4,3gb1RZucekcRdda82TSNS4FZSREhGLoi1FxGDmMZdVeLtYYixPRviEdYireoM9RqC6Jf4kx85Y1jmUg5XzGgqdjpkhHm7kJZdgUR3VBwuLZuyHVqdSNv3eanqpknYsXtUwvUA16HFwNa3HgVRAnGC8zj8U7kksrfjycAM1yb19BB4TYR2BKWN7mpvoeoTuAKcAFH26cM46CEYsDRDn832wVNTLAmzz4Q6FqE29H9euwYzKiebgxQbWUxtupvfSbKaHpQcZAo5Dhyc6PFPyGVFZVRGZZ4Kftgi1NMRnGwKG7NTtXsFMsJP6A7yvLy8UZaMPe69BUAkpbSJdcWem3WpPUE7UpXv4itDkS5KVVaFtVyfx8PQxzi2eotP2uXtfairHuKinbpSFTSFKW3GxmXaw7vQs1JuVd8NhNShX6hxSqCP6sxojrqBxA48T2KcxNrmE3uFk7Pt4vPPdMAS4PW6UU82UD9rfhe3SMytK6DkjCocuRwuNqFoy4k25TXbGauTNgKuPKY3CxgkTpw9WfWsmtei178tLefhUEGJueueXSZo7negPYtmcYpoMhCuv4G1JZc283Q7f3mNXS,100047.47,0.00010004746999998999
5,9i7TqQhbWCsqmxVRPFRzwGqfCtdXfcBnF6Mtgq1KrEdp5HtvShZ,31000.0,3.09999999999969e-05
6,9gaA8ynjBGd5GWDpge14RPwQEakPr4RYKrmXkUJZxEgU2eRZQfe,24600.0,2.459999999999754e-05
7,9esvkm1fV4vP8mEAfbMEDCX2MW5WMTM2jfPxpYa2bGYY7MKzMzj,16903.64,1.690363999999831e-05
8,9evzz6J2YrwSahZhu4hiZHjT5y1uxDG9aHmakZi9Hp4eNBxCh3S,13160.0,1.3159999999998685e-05
9,9gXwQxoqrZU3kruHDXLJMvd7jqdiawBBrMWNdqLesuYCtjn7Laa,7250.0,7.249999999999275e-06
10,9fx2cfh1DqpkRMA9K5nFhLtAtHLPBUTaqRyQge16uE5PATTsbUa,5000.0,4.9999999999995e-06
11,9efmKFMLXq7NCX1sDhTmGKjqMeRBCzmM4rTjLtpNhWBzVzn6NmG,4811.36,4.811359999999519e-06
12,9etDbVVWiZqQyPdKy8zn1XnLK4xH3h7ojxj9joPXRA7PHxfSejf,4106.2,4.10619999999959e-06
13,9fietBccjHwLwKLS9W11E6AvmVZnNi84pBHxT1z9Fr9x1KkyBJh,3121.8,3.1217999999996878e-06
14,9g1ReLmsbGevkTjfPGMdRMoFRdrAVskZVmSBpaEdVW2DfG4HDWm,2669.29,2.669289999999733e-06
15,9gwwxP8dS3VCsFajAbxipt7vcqtGmd2Tw9d7sxY8aDEYb6cNx78,2150.0,2.149999999999785e-06
16,9g9cdHhNZvtUvMveqEEfk28JZasEC8sJamV3E6d5JHv8VYUjjbX,1855.0,1.8549999999998145e-06
17,9iHPMUdzFU7L8tdaoWUZWAFAWWeKRXyUkgaeSBvQJ2riSfvp9h2,1553.03,1.5530299999998448e-06
18,9gEPfMNyL78Bt3eMKWQVXmTsTJVFK44tTbGADjs29fyibjEv9uq,1500.0,1.49999999999985e-06
19,9eZ24iqjKywjzAti9RnWWTR3CiNnLJDAcd2MenKodcAfzc8AFTu,1303.65,1.3036499999998696e-06
20,9f6k5kwhJqFNawFekyCDFkh9j8tueKGK63LeTDKf1QKU86youfZ,1293.56,1.2935599999998706e-06
21,9iNF9uDYifztdbzhF2eqRMXCKdqGSawoZg4i9igkiGSinJR6w1L,1230.0,1.229999999999877e-06
22,9hUkx324WfHdCVG7NE17xmpmUG5K8mxCEArkifChscjAPehssGV,1049.43,1.049429999999895e-06
23,9gogqhS8gMgs2ikdyPEc6K3i16bW9DBc9zwu7GkaUMhLxpoCZfG,1002.87,1.0028699999998998e-06
24,9fFt78oi1niKbphVTpm5VYHCCyFwubbZiz3w7jkG15AQzCA7ae1,1000.0,9.999999999999e-07
25,9i9dLcKU2kN99iaY4Jxim4bbcP2j3kUQp78aEBA1kEKiYQ346Y3,1000.0,9.999999999999e-07
26,9i1yZDGe7PcLhtrXdi6ecfnvmXFz4daGE1s8Xbm5pRp2cWiaXtg,953.0,9.529999999999047e-07
27,9iPRHcqZvhcgpCUKBytMa1cXSukZio2yvSaLtbgXjiwzp7CQLGd,900.86,9.008599999999099e-07
28,9iE2MadGSrn1ivHmRZJWRxzHffuAk6bPmEv6uJmPHuadBY8td5u,869.95,8.69949999999913e-07
29,9hjpNHhiNVZckMdbz2N8BNT7VHNgGYoB2JhXRRpujNuotDYPSi8,750.0,7.49999999999925e-07
30,9h3bdbDebJfF8uUEnPR37TjjXbDaVPEvT93K2o29LwaGjrCmU41,728.57,7.285699999999272e-07
31,9eqH28AqqdbWKCUMsa6BSkpUR1iCVGMxsEo59BGp6hSYwLE9d5i,719.6,7.195999999999281e-07
32,9edRx5eXrVwSTjywK9VDg4pqYoFkZjtHTkVM19tHLw7pfD7ULRF,700.98,7.009799999999299e-07
33,9f6jSdkCqMcKq8E3T2mhbZfMyvt6FJvLKEuc1uUkkfTNiaDMW5g,650.0,6.49999999999935e-07
34,9ezkVoMPzm1TZE4DaTi17nmETpTsQcXrWtFnbPV7B7ucRQgWB9Y,649.4,6.493999999999351e-07
35,9hjT5nj9gj2NwBtEJHBGpwKdcNntCsJ8oTV3hNQmmZwvigTVoqt,600.0,5.9999999999994e-07
36,9fDVAUWN6g3w9i3bUVvyKYmogFYLNbvq148eMYgXMR6k4rot6N4,550.34,5.503399999999449e-07
37,9gecdkw8VDfnWWTFmGhhUiaC6gTSv3T5QpXY8eVrombdpvvtQAN,474.66,4.7465999999995256e-07
38,9gmZZSTj2XcCaF5C4gSGJTYVp7LmZf5mzqiKbgMNty8AVa5HJPQ,450.0,4.49999999999955e-07
39,9fbiMxYWdBqaaCBhw7qnhVvXeBefgsZqFnUc5oNNKbrUeoaqE8z,430.0,4.29999999999957e-07
40,9hXAkmeFM1fCcjmEViBUxwu2dFcYvxZqcFs41HeUM3U2F43hB2X,430.0,4.29999999999957e-07
41,9fComb4agG9H9ZwPiPuL5gvJFPgTLh98JGPmavvq8u4kaUMfYZo,430.0,4.29999999999957e-07
42,9hQtJFSSKqVVhbuDc2LWXNr2VVLN4yCvYStzw6t4Fr6qmsBTQyX,430.0,4.29999999999957e-07
43,9fmQfdHfjVfX2tQc1j7wgsKEoYX8NMmkGhjpc7msXTqn4aU39Yp,400.0,3.9999999999996e-07
44,9f5r5Q6t6Db1KQeH6qePBDC9ocwnPstukie4hob5zouPWv7Bw6t,391.8,3.917999999999608e-07
45,9ff7BD67WE2FPBPhQTaMNRreGo6KfvcCryfD6GkEnUfFYEm94zr,350.0,3.49999999999965e-07
46,9gdgoja1LomQ4xqK1CUsjJN76zNybnxwrSDpV88Zbszy2Sev4iA,319.75,3.19749999999968e-07
